NAMES                   STATUS                PORTS
9router-mw-redis        Up 21 minutes         127.0.0.1:6381->6379/tcp
ggl-grafana             Up 3 days (healthy)   127.0.0.1:3000->3000/tcp
ggl-prometheus          Up 3 days (healthy)   127.0.0.1:9090->9090/tcp
ggl-redis-exporter      Up 3 days             9121/tcp
ggl-pgbouncer           Up 3 days (healthy)   127.0.0.1:6432->5432/tcp
ggl-postgres-exporter   Up 3 days             9187/tcp
ggl-promtail            Up 3 days             
ggl-redis               Up 3 days (healthy)   127.0.0.1:6379->6379/tcp
ggl-postgres            Up 3 days (healthy)   127.0.0.1:5440->5432/tcp
ggl-loki                Up 3 days (healthy)   127.0.0.1:3100->3100/tcp
ggl-alertmanager        Up 3 days (healthy)   127.0.0.1:9093->9093/tcp
ggl-node-exporter       Up 3 days             9100/tcp
app-postgres-1          Up 3 days (healthy)   127.0.0.1:5433->5432/tcp
app-redis-1             Up 3 days (healthy)   127.0.0.1:6380->6379/tcp
